"Run ID","Assay Name","Test Name","Test Date","Qubit tube conc.","Qubit tube conc. units","Original sample conc.","Original sample conc. units","Sample Volume (uL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222355","08/08/2025 10:23:55 PM","0.116","ug/mL","11.6","ng/uL","2","100","140.58","14719.32",,"Blue","Green","578.01",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222346","08/08/2025 10:23:46 PM","0.112","ug/mL","11.2","ng/uL","2","100","140.58","14719.32",,"Blue","Green","564.51",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222336","08/08/2025 10:23:36 PM","0.145","ug/mL","14.5","ng/uL","2","100","140.58","14719.32",,"Blue","Green","687.62",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222326","08/08/2025 10:23:26 PM","0.124","ug/mL","12.4","ng/uL","2","100","140.58","14719.32",,"Blue","Green","606.75",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222316","08/08/2025 10:23:16 PM","0.111","ug/mL","11.1","ng/uL","2","100","140.58","14719.32",,"Blue","Green","561.23",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222307","08/08/2025 10:23:07 PM","0.108","ug/mL","10.8","ng/uL","2","100","140.58","14719.32",,"Blue","Green","549.32",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222255","08/08/2025 10:22:55 PM","0.164","ug/mL","16.4","ng/uL","2","100","140.58","14719.32",,"Blue","Green","756.60",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222246","08/08/2025 10:22:46 PM","0.102","ug/mL","10.2","ng/uL","2","100","140.58","14719.32",,"Blue","Green","524.76",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222236","08/08/2025 10:22:36 PM","0.129","ug/mL","12.9","ng/uL","2","100","140.58","14719.32",,"Blue","Green","626.47",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222226","08/08/2025 10:22:26 PM","0.142","ug/mL","14.2","ng/uL","2","100","140.58","14719.32",,"Blue","Green","674.63",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222215","08/08/2025 10:22:15 PM","0.139","ug/mL","13.9","ng/uL","2","100","140.58","14719.32",,"Blue","Green","663.04",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222205","08/08/2025 10:22:05 PM","0.0872","ug/mL","8.72","ng/uL","2","100","140.58","14719.32",,"Blue","Green","470.13",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222156","08/08/2025 10:21:56 PM","0.153","ug/mL","15.3","ng/uL","2","100","140.58","14719.32",,"Blue","Green","715.72",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222147","08/08/2025 10:21:47 PM","0.0936","ug/mL","9.36","ng/uL","2","100","140.58","14719.32",,"Blue","Green","494.01",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222135","08/08/2025 10:21:35 PM","0.133","ug/mL","13.3","ng/uL","2","100","140.58","14719.32",,"Blue","Green","643.00",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222126","08/08/2025 10:21:26 PM","0.123","ug/mL","12.3","ng/uL","2","100","140.58","14719.32",,"Blue","Green","605.43",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222116","08/08/2025 10:21:16 PM","0.155","ug/mL","15.5","ng/uL","2","100","140.58","14719.32",,"Blue","Green","725.83",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222107","08/08/2025 10:21:07 PM","0.127","ug/mL","12.7","ng/uL","2","100","140.58","14719.32",,"Blue","Green","618.09",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222057","08/08/2025 10:20:57 PM","0.110","ug/mL","11.0","ng/uL","2","100","140.58","14719.32",,"Blue","Green","555.34",
